index,time,S:Madeira__all,I1:Madeira__all,I2:Madeira__all,R1:Madeira__all,R2:Madeira__all,S1:Madeira__all,S2:Madeira__all,I12:Madeira__all,I21:Madeira__all,R:Madeira__all,obs_mean:MadeiraMildCases__ecdc__inc,obs_mean:MadeiraSevereCases__ecdc__inc,obs_real:MadeiraMildCases__ecdc__inc,obs_real:MadeiraSevereCases__ecdc__inc
0,0,255095,0.00302372,85.1322,0.187613,4677.52,0.00441064,1102.54,0,0,6341.23,0,0,0,0.0025677
0,7,255051,8.0507e-05,4.21872,0.186229,4662.2,0.0105831,1255.05,0,0,6329.77,46.9322,1.95124e-06,42.9275,0.00878028
0,14,254808,0.00092772,63.1142,0.181892,4705.2,0.0165778,1406.84,3.14145e-06,3.95981e-06,6318.2,144.722,2.14585e-05,142.319,0
0,21,254584,0.000666559,74.5383,0.176637,4776.56,0.0223795,1560.13,2.37418e-06,0,6306.72,173.226,6.89255e-06,207.259,0
0,28,254295,0.000200387,93.9479,0.168736,4901.73,0.0278568,1716.32,4.2275e-06,0,6295.22,217.368,6.95905e-06,190.04,0
0,35,253761,0,167.025,0.155727,5211.66,0.0327301,1878.98,9.63609e-06,0,6283.4,376.703,1.00919e-05,373.368,0.00256461
0,42,253506,0,77.2484,0.146185,5394.89,0.0373844,2050.72,2.82872e-06,0,6272.69,214.197,3.73203e-06,223.984,0
0,49,253150,0,103.973,0.132307,5559.04,0.0412548,2227.28,8.40477e-06,0,6261.06,247.794,7.64175e-06,282.942,0
0,56,252734,0,126.493,0.119016,5782.11,0.0445278,2409.57,8.57456e-06,0,6249.28,302.826,9.76244e-06,326.916,0
0,63,252444,0,87.1577,0.109193,5933.92,0.0475679,2598.25,4.25951e-06,0,6238.15,226.118,7.29077e-06,222.29,0.00506965
0,70,252333,0,39.2837,0.102219,5914.08,0.0505358,2788.72,1.88029e-06,0,6227.25,109.203,5.19586e-06,116.732,0
0,77,252280,0,21.1415,0.0964809,5807.73,0.0533653,2976.61,1.77956e-06,0,6216.02,57.6847,5.27671e-06,59.9419,0.0047829
0,84,252231,0,19.981,0.0915272,5685.92,0.0560517,3160.14,2.45532e-06,0,6204.47,51.7312,7.4873e-06,43.9218,0
0,91,252224,0,8.33226,0.0878242,5536.95,0.0587692,3339.09,1.04458e-06,0,6193.24,24.2657,4.15967e-06,20.005,0
0,98,252239,1.80677e-08,3.03875,0.0846801,5365.6,0.0614598,3512.38,5.38094e-07,0,6182,9.06046,2.28223e-06,11.2347,0.00552994
0,105,252255,6.65981e-07,2.87737,0.0818099,5193.82,0.0640895,3679.61,6.2002e-07,7.67514e-09,6170.67,7.75164,2.28495e-06,7.47896,0
0,112,252269,1.68968e-06,3.62375,0.079065,5029.23,0.0666305,3840.98,8.01877e-07,2.02977e-08,6159.27,9.47201,2.82463e-06,12.1047,0.00524453
0,119,252289,1.1881e-06,1.68186,0.0763711,4866.2,0.0690645,3996.74,3.88359e-07,1.55669e-08,6148.01,4.82906,1.56176e-06,5.74125,0
0,126,252316,5.85855e-08,0,0.0737605,4701.77,0.071406,4146.85,0,2.10849e-09,6136.82,0.0990471,1.25894e-07,0.455207,0.00125963
0,132,252340,2.07581e-07,0,0.0715967,4563.81,0.073344,4271.02,0,3.54189e-09,6127.26,4.3398e-11,9.75809e-09,0.00321225,0.00273119
0,139,252367,1.80891e-07,1.40821e-07,0.0691524,4407.96,0.0755254,4410.8,0,3.31629e-09,6116.12,7.66059e-07,1.13783e-08,0,0
0,147,252398,1.52099e-07,1.47969e-07,0.0664609,4236.36,0.0779169,4564.08,0,2.90604e-09,6103.41,8.51859e-07,1.15003e-08,0.00207991,0.00390449
0,154,252425,1.39049e-07,1.37349e-07,0.0641918,4091.7,0.0799239,4692.74,4.97497e-13,2.68897e-09,6092.31,6.83472e-07,9.23315e-09,0.00082553,0
0,161,252452,1.25293e-07,1.23913e-07,0.0620002,3951.97,0.0818539,4816.49,0,2.4774e-09,6081.23,6.16077e-07,8.49141e-09,0,0.00045726
0,168,252479,1.13468e-07,1.12318e-07,0.0598834,3817.02,0.0837095,4935.5,2.2961e-13,2.28727e-09,6070.17,5.56717e-07,7.8291e-09,0,0.0030451
0,175,252506,1.0393e-07,1.02941e-07,0.0578389,3686.67,0.0854933,5049.93,0,2.13978e-09,6059.14,5.08278e-07,7.28943e-09,0,0.00331143
0,182,252533,9.67269e-08,9.58388e-08,0.0558641,3560.78,0.0872078,5159.94,1.55518e-13,1.99753e-09,6048.12,4.71055e-07,6.88601e-09,0,0.0016178
0,189,252560,9.1757e-08,9.09822e-08,0.0539568,3439.19,0.0888553,5265.68,0,1.98784e-09,6037.12,4.44923e-07,6.62731e-09,0.00394511,0.000796466
0,196,252587,8.91277e-08,8.83311e-08,0.0521145,3321.74,0.0904382,5367.29,1.26541e-13,1.88653e-09,6026.14,4.29625e-07,6.51814e-09,0,0
0,203,252613,8.85659e-08,8.78516e-08,0.0503352,3208.31,0.0919586,5464.92,0,2.0123e-09,6015.19,4.2496e-07,6.56566e-09,0.00229698,0
0,210,252640,9.03843e-08,8.95317e-08,0.0486167,3098.75,0.0934187,5558.71,1.19199e-13,1.96598e-09,6004.25,4.30818e-07,6.77642e-09,0,0.000141026
0,217,252667,9.41829e-08,9.33795e-08,0.0469568,2992.94,0.0948206,5648.78,0,2.23274e-09,5993.33,4.47211e-07,7.16098e-09,0.00267646,0
0,224,252693,1.00499e-07,9.94253e-08,0.0453536,2890.73,0.0961663,5735.27,1.20753e-13,2.25543e-09,5982.43,4.74254e-07,7.73009e-09,0,0
0,231,252720,1.0879e-07,1.07705e-07,0.0438052,2792.02,0.0974577,5818.3,0,2.67322e-09,5971.55,5.12121e-07,8.49788e-09,0.00095487,0.0011748
0,236,252739,1.18773e-07,1.1738e-07,0.0427317,2723.58,0.098348,5875.56,5.25788e-14,2.8234e-09,5963.8,4.04233e-07,6.73926e-09,0,0.000422623
0,243,252765,1.2899e-07,1.27348e-07,0.0412729,2630.58,0.0995507,5952.93,4.7426e-14,3.16727e-09,5952.95,6.03916e-07,1.03386e-08,0,0
0,250,252792,1.43495e-07,1.41462e-07,0.039864,2540.75,0.100704,6027.15,6.29068e-14,3.57137e-09,5942.13,6.69746e-07,1.16789e-08,0.000747025,0
0,257,252818,1.60182e-07,1.57695e-07,0.0385032,2453.98,0.10181,6098.33,6.22165e-14,4.06988e-09,5931.32,7.46184e-07,1.3261e-08,0.000796904,0.00188763
0,264,252845,1.78394e-07,1.75386e-07,0.0371889,2370.19,0.102869,6166.58,7.89888e-14,4.61138e-09,5920.54,8.29757e-07,1.50357e-08,0.00454855,0
0,271,252871,1.97218e-07,1.93736e-07,0.0359196,2289.25,0.103885,6231.99,8.00016e-14,5.20198e-09,5909.77,9.16235e-07,1.6935e-08,0.00266064,0.00231756
0,278,252897,2.15333e-07,2.11585e-07,0.0346936,2211.07,0.104857,6294.67,9.77386e-14,5.79189e-09,5899.03,9.99346e-07,1.88432e-08,0,0.0027434
0,285,252923,2.30993e-07,2.27519e-07,0.0335096,2135.57,0.105788,6354.71,9.78939e-14,6.34349e-09,5888.3,1.07091e-06,2.05906e-08,0.00587825,0.00155418
0,292,252949,2.42391e-07,2.40195e-07,0.0323659,2062.64,0.106679,6412.2,9.29791e-14,6.67278e-09,5877.59,1.12195e-06,2.19627e-08,0,0
0,303,252990,1.82036e-07,1.93894e-07,0.0306468,1953.04,0.108002,6497.59,9.9923e-14,5.71832e-09,5860.81,1.2819e-06,2.66647e-08,0,0
6,0,254473,0.00156946,119.675,0.064659,5388.59,0.00267475,1168.25,0,0,6152.22,0,0,0.00388605,0
6,7,254399,0.00018878,16.4569,0.0654237,5436.99,0.00438514,1308.83,0,0,6141.12,61.442,2.04459e-06,56.4408,0.00359942
6,14,254131,0.000786275,77.2659,0.0657638,5513.64,0.00608953,1450.07,1.26935e-06,3.08394e-06,6129.87,143.509,1.19528e-05,130.675,0
6,21,253883,0.000759461,91.0936,0.0656299,5616.25,0.00777953,1593.21,1.17057e-06,1.4413e-06,6118.7,170.705,6.93507e-06,180.586,0
6,28,253560,0.000677928,114.782,0.0646797,5780.56,0.00941935,1739.55,1.82807e-06,9.31327e-07,6107.49,214.702,7.43182e-06,227.691,0.00119988
6,35,252967,0.000741107,201.643,0.0623464,6144.62,0.0109237,1892.29,3.92541e-06,6.61299e-07,6095.88,368.995,1.09515e-05,371.766,0
6,42,252676,7.815e-05,102.974,0.0598995,6384.29,0.0124145,2053.53,1.69496e-06,0,6085.57,218.99,3.68028e-06,213.015,0.00600463
6,49,252281,0,128.925,0.0551333,6597.81,0.0137093,2220.1,4.08423e-06,0,6074.27,246.809,5.75016e-06,241.762,0
6,56,251813,0,156.754,0.0501771,6876.52,0.0148354,2392.62,4.9486e-06,0,6062.77,300.095,6.96579e-06,354.37,0.00127773
6,63,251487,0,112.333,0.0463597,7079.59,0.0158772,2571.44,3.03793e-06,0,6052.03,228.341,5.43969e-06,211.936,0
6,70,251362,0,52.5411,0.0437284,7093.24,0.0169004,2752.71,1.51579e-06,0,6041.61,112.873,3.68795e-06,116.876,0
6,77,251305,0,27.6112,0.0416867,7005.46,0.0178958,2932.6,1.15683e-06,0,6030.82,58.6749,3.12718e-06,63.3508,0
6,84,251248,0,25.4439,0.0400159,6899.14,0.0188628,3109.48,1.38745e-06,0,6019.63,51.6311,3.90853e-06,58.1542,0
6,91,251239,0,11.0631,0.0386471,6760.46,0.0198167,3282.97,6.39994e-07,0,6008.79,24.6535,2.14194e-06,29.5121,0
6,98,251254,8.23761e-07,4.04352,0.0374974,6594.23,0.0207628,3452.08,2.82908e-07,9.62139e-09,5997.92,9.2082,1.03149e-06,9.28412,0.00331082
6,105,251270,2.80491e-06,3.70671,0.0365155,6424.9,0.0217042,3616.4,2.92737e-07,3.5736e-08,5986.92,7.70503,1.00403e-06,6.63071,0.00378698
6,112,251284,6.33538e-06,4.61965,0.0355937,6261.29,0.0226259,3776.02,3.75026e-07,8.28049e-08,5975.85,9.32091,1.33081e-06,8.95696,0.00313028
6,119,251306,4.42769e-06,2.21282,0.0346295,6098.05,0.0235056,3931.13,1.87246e-07,6.20031e-08,5964.94,4.82066,8.00287e-07,4.65437,4.64584e-06
6,126,251335,3.22687e-07,0,0.0336705,5931.61,0.024356,4081.67,1.61293e-09,8.2692e-09,5954.12,0.15885,8.89894e-08,0,0
6,132,251359,8.21164e-07,0,0.0328721,5790.67,0.0250656,4207,1.15895e-10,1.37927e-08,5944.84,1.09809e-10,3.40022e-08,0.0010684,0.00195899
6,139,251388,5.56858e-07,4.19489e-07,0.0319643,5630.46,0.0258697,4349.03,2.49308e-14,1.06968e-08,5934.03,1.90389e-06,3.29556e-08,0.00234107,0
6,147,251421,4.60874e-07,4.5213e-07,0.0309572,5452.78,0.0267582,4505.97,0,9.28888e-09,5921.7,2.07922e-06,3.24423e-08,0.0025487,1.91542e-05
6,154,251450,4.44921e-07,4.40655e-07,0.030102,5301.92,0.0275098,4638.73,1.84751e-13,9.00031e-09,5910.93,1.76262e-06,2.73924e-08,0.0003278,0
6,161,251479,4.13187e-07,4.08801e-07,0.0292704,5155.23,0.0282378,4767.34,6.86884e-17,8.51638e-09,5900.18,1.63426e-06,2.58791e-08,0.00126556,0
6,168,251508,3.80901e-07,3.76797e-07,0.0284617,5012.6,0.0289431,4891.92,6.58564e-14,7.99647e-09,5889.46,1.50214e-06,2.42115e-08,0.000264371,0
6,175,251537,3.51625e-07,3.479e-07,0.0276754,4873.92,0.0296262,5012.6,2.98433e-14,7.51432e-09,5878.75,1.38209e-06,2.26636e-08,0.0042502,0
6,182,251565,3.26872e-07,3.23511e-07,0.0269107,4739.08,0.0302877,5129.46,4.82625e-14,7.10982e-09,5868.06,1.28006e-06,2.13535e-08,0.000349431,0.00274322
6,189,251594,3.0754e-07,3.04474e-07,0.0261671,4607.96,0.0309282,5242.63,3.52654e-14,6.80847e-09,5857.39,1.19945e-06,2.03578e-08,0.000180671,0
6,196,251623,2.94156e-07,2.91291e-07,0.0254441,4480.47,0.0315484,5352.21,4.1154e-14,6.62932e-09,5846.74,1.14218e-06,1.973e-08,0.00400809,0.00599581
6,203,251651,2.87001e-07,2.84232e-07,0.024741,4356.51,0.0321487,5458.29,3.65566e-14,6.58613e-09,5836.1,1.10921e-06,1.95092e-08,0.00119767,0.00191612
6,210,251679,2.86202e-07,2.83417e-07,0.0240573,4235.98,0.0327298,5560.97,4.01294e-14,6.69001e-09,5825.49,1.10096e-06,1.97262e-08,0.00332647,0
6,217,251708,2.91785e-07,2.88869e-07,0.0233926,4118.79,0.0332921,5660.36,3.95365e-14,6.95029e-09,5814.9,1.11744e-06,2.0408e-08,0.000463474,0.00337366
6,224,251736,3.03697e-07,3.00523e-07,0.0227463,4004.83,0.0338363,5756.53,4.35017e-14,7.3751e-09,5804.33,1.15845e-06,2.15787e-08,0,0
6,231,251765,3.21782e-07,3.18213e-07,0.0221179,3894.03,0.0343627,5849.58,4.58113e-14,7.97067e-09,5793.77,1.2234e-06,2.32586e-08,0,0
6,236,251785,3.51092e-07,3.46865e-07,0.0216798,3816.77,0.0347282,5914.18,5.03216e-14,8.67246e-09,5786.24,9.65425e-07,1.83316e-08,0.000197462,0.0031522
6,243,251813,3.67262e-07,3.62631e-07,0.0210811,3711.17,0.0352254,6002.09,5.46317e-14,9.42817e-09,5775.72,1.39171e-06,2.74543e-08,0.00238441,0
6,250,251841,3.98594e-07,3.93253e-07,0.0204989,3608.5,0.0357063,6087.1,6.04637e-14,1.04472e-08,5765.22,1.50901e-06,3.04266e-08,0,0.00435208
6,257,251869,4.34348e-07,4.2823e-07,0.019933,3508.66,0.0361712,6169.31,6.72298e-14,1.16324e-08,5754.74,1.64459e-06,3.39207e-08,0.00195707,0.000807329
6,264,251897,4.71509e-07,4.64758e-07,0.0193828,3411.59,0.0366207,6248.78,7.45456e-14,1.29094e-08,5744.27,1.78788e-06,3.7734e-08,0,0.00230717
6,271,251925,5.07466e-07,5.0057e-07,0.018848,3317.2,0.0370552,6325.6,8.20197e-14,1.42047e-08,5733.83,1.92938e-06,4.16634e-08,0.0026663,0
6,278,251953,5.39081e-07,5.33095e-07,0.0183279,3225.43,0.037475,6399.84,8.92028e-14,1.54258e-08,5723.4,2.05779e-06,4.54346e-08,6.72274e-05,0
6,285,251981,5.6318e-07,5.6001e-07,0.0178223,3136.19,0.0378806,6471.58,9.56352e-14,1.64709e-08,5713,2.16097e-06,4.87104e-08,0,0.00420163
6,292,252009,5.76996e-07,5.79703e-07,0.0173306,3049.42,0.0382724,6540.88,1.00953e-13,1.72454e-08,5702.61,2.22812e-06,5.11374e-08,0,0.000412258
6,303,252053,4.10363e-07,4.55314e-07,0.0165846,2917.9,0.0388612,6645.01,8.8227e-14,1.40379e-08,5686.32,2.5234e-06,6.03958e-08,0.00447554,0.00461735
12,0,256506,0.00506988,74.2115,0.241568,2870.92,0.000243772,667.709,0,0,7183.25,0,0,0.00337614,0
12,7,256459,0,0,0.244711,2937.16,0.00624738,738.341,0,0,7167.27,50.2003,1.87239e-06,56.1411,0
