S:all,I1:all,I2:all,R1:all,R2:all,S1:all,S2:all,I12:all,I21:all,beta:all,psi:all,i:all,gamma:all,alpha:all,e:all,d:all,sto:all,rep:MadeiraMildCases__ecdc__inc,rep:MadeiraSevereCases__ecdc__inc,phi:all
0.64618,-0.00153252,-0.0013454,0,0,-0.475092,-0.117071,0,0,-0.00959919,0.116417,-0.203587,-0.00368122,-0.0508381,-0.0287269,-0.0135585,0,0.126466,0,0
-0.00153252,0.0471713,0.00487399,0,0,-0.0393908,0.0347273,0,0,0.00465158,-0.0956857,0.00621639,-0.0025849,0.00063681,0.0155709,0.0046731,0,-0.0171474,0,0
-0.0013454,0.00487399,0.0226096,0,0,0.0670921,0.0454444,0,0,0.010374,-0.033127,0.00788406,-0.00652802,-0.00442762,0.00169213,0.00542232,0,-0.00802811,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.475092,-0.0393908,0.0670921,0,0,0.720527,0.226666,0,0,0.0453908,0.0276078,0.207056,-0.0238645,0.0204146,0.0278728,0.0245826,0,-0.160524,0,0
-0.117071,0.0347273,0.0454444,0,0,0.226666,0.211607,0,0,0.0293056,-0.121394,0.109507,-0.0122222,0.00649071,0.0284787,0.0221056,0,-0.117335,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.00959919,0.00465158,0.010374,0,0,0.0453908,0.0293056,0,0,0.00637502,-0.0128511,0.0109753,-0.00401386,-0.00153609,0.0037128,0.00332675,0,-0.0135486,0,0
0.116417,-0.0956857,-0.033127,0,0,0.0276078,-0.121394,0,0,-0.0128511,0.624784,-0.0464424,-0.0018134,-0.00298623,0.0586607,-0.0188842,0,0.0238741,0,0
-0.203587,0.00621639,0.00788406,0,0,0.207056,0.109507,0,0,0.0109753,-0.0464424,0.179755,9.26605e-05,0.0222867,0.0257735,0.0115433,0,-0.0849411,0,0
-0.00368122,-0.0025849,-0.00652802,0,0,-0.0238645,-0.0122222,0,0,-0.00401386,-0.0018134,9.26605e-05,0.00318314,0.00229828,-0.00264719,-0.00146939,0,0.00443217,0,0
-0.0508381,0.00063681,-0.00442762,0,0,0.0204146,0.00649071,0,0,-0.00153609,-0.00298623,0.0222867,0.00229828,0.00715364,0.00621051,0.000588763,0,-0.00847024,0,0
-0.0287269,0.0155709,0.00169213,0,0,0.0278728,0.0284787,0,0,0.0037128,0.0586607,0.0257735,-0.00264719,0.00621051,0.0569719,0.00257953,0,-0.032106,0,0
-0.0135585,0.0046731,0.00542232,0,0,0.0245826,0.0221056,0,0,0.00332675,-0.0188842,0.0115433,-0.00146939,0.000588763,0.00257953,0.00245293,0,-0.0113582,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126466,-0.0171474,-0.00802811,0,0,-0.160524,-0.117335,0,0,-0.0135486,0.0238741,-0.0849411,0.00443217,-0.00847024,-0.032106,-0.0113582,0,0.13256,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
