time,low95:S:Madeira__all,S:Madeira__all,high95:S:Madeira__all,low95:I1:Madeira__all,I1:Madeira__all,high95:I1:Madeira__all,low95:I2:Madeira__all,I2:Madeira__all,high95:I2:Madeira__all,low95:R1:Madeira__all,R1:Madeira__all,high95:R1:Madeira__all,low95:R2:Madeira__all,R2:Madeira__all,high95:R2:Madeira__all,low95:S1:Madeira__all,S1:Madeira__all,high95:S1:Madeira__all,low95:S2:Madeira__all,S2:Madeira__all,high95:S2:Madeira__all,low95:I12:Madeira__all,I12:Madeira__all,high95:I12:Madeira__all,low95:I21:Madeira__all,I21:Madeira__all,high95:I21:Madeira__all,low95:R:Madeira__all,R:Madeira__all,high95:R:Madeira__all,low95:MadeiraMildCases__ecdc__inc,MadeiraMildCases__ecdc__inc,high95:MadeiraMildCases__ecdc__inc,low95:MadeiraSevereCases__ecdc__inc,MadeiraSevereCases__ecdc__inc,high95:MadeiraSevereCases__ecdc__inc
303,252085,256035,261948,2.67302e-12,4.30368e-08,1.78872e-07,1.13545e-09,7.65103e-08,2.01875e-07,3.73086e-06,0.0323953,0.210304,757.194,2204.77,5056.5,0.00343268,0.0623898,0.32393,1398.34,4323.6,9527.36,2.67302e-12,3.99697e-12,1.13837e-11,2.67302e-12,9.4502e-10,5.7261e-09,257.844,4738.71,10440.5,0,0,0,0,0,0
304,252082,256038,261945,0,0.0145142,0.121325,0,0.0108042,0.111592,0,0.0362174,0.189148,752.948,2197.55,5042.99,0.00134606,0.0626948,0.325003,1400.78,4329.16,9536.23,0,0.00123843,0.013868,0,0.00302257,0.031924,262.734,4736.99,10432.4,0,0.0139029,0.0931351,0,0.000861668,0.00576029
305,252100,256041,261962,0,0.0521101,0.503758,0,0.0332871,0.299384,0,0.0802837,0.465945,748.416,2190.44,5031.37,0,0.0630675,0.327742,1403.91,4334.63,9542.39,0,0.00385837,0.0449019,0,0.0162531,0.164033,266.015,4735.62,10407,0,0.0619926,0.469164,0,0.00534506,0.0444637
306,252109,256044,261962,0,0.098984,0.783309,0,0.0611578,0.614586,0,0.162128,0.925166,744.406,2183.16,5022.17,0,0.0643331,0.346434,1406.8,4340.27,9555.16,0,0.00669652,0.0683719,0,0.0249563,0.224054,260.563,4733.99,10400.9,0,0.121025,0.940201,0,0.00854523,0.0654931
307,252109,256047,261964,0,0.171942,1.72137,0,0.0994406,1.24231,0,0.252851,1.26118,742.863,2176,5011.04,0,0.0668341,0.368087,1409.74,4345.78,9564.83,0,0.0127694,0.155526,0,0.0296643,0.273046,266.857,4732.78,10415.6,0,0.189177,1.50981,0,0.0132406,0.106135
308,252127,256049,261963,0,0.225136,1.57368,0,0.10845,1.21359,0,0.403814,2.25501,739.798,2168.72,4995.09,0,0.0719943,0.354374,1413.54,4351.44,9568.35,0,0.0107513,0.0723098,0,0.0463377,0.425159,254.384,4731.55,10392.8,0,0.228033,1.68763,0,0.0155279,0.119025
309,252153,256053,261970,0,0.297221,2.46305,0,0.115183,1.31724,0,0.567484,3.15023,739.874,2161.48,4983.71,0,0.0786341,0.358786,1420.55,4356.97,9578.36,0,0.0129664,0.0975555,0,0.0585189,0.586055,247.635,4729.71,10411.2,0,0.265612,1.81292,0,0.0161841,0.121647
310,252133,256055,261967,0,0.377368,3.12626,0,0.17787,1.74633,0,0.779111,4.30372,739.004,2154.25,4975.71,0,0.0826293,0.338668,1425.48,4362.6,9585.93,0,0.0161037,0.107307,0,0.0531155,0.503942,253.562,4728.94,10413.4,0,0.358774,2.36269,0,0.0198407,0.160766
311,252132,256057,261973,0,0.468243,4.27386,0,0.210594,2.17071,0,1.01004,5.35645,734.118,2147.25,4953.92,0,0.0933023,0.381963,1429.63,4368.04,9588.24,0,0.01768,0.181226,0,0.0776513,0.689077,248.039,4727.5,10408.5,0,0.395742,2.36878,0,0.0223256,0.16465
312,252141,256059,261972,0,0.551305,5.03986,0,0.239763,2.2067,0,1.28628,6.70547,729.188,2140.23,4939.98,0,0.103715,0.426784,1436.25,4373.5,9599.68,0,0.0187848,0.209638,0,0.0856826,0.745115,256.785,4726.61,10418.8,0,0.455166,3.41489,0,0.025566,0.210684
313,252149,256062,261973,0,0.6344,5.84053,0,0.227304,1.89333,0.0283977,1.60478,7.78633,726.816,2133.47,4924.85,0,0.116488,0.458942,1438.39,4378.7,9607.03,0,0.0139855,0.12491,0,0.076469,0.865013,269.325,4725.58,10414.1,0,0.497388,3.81241,0,0.0250651,0.188714
314,252148,256063,261960,0,0.690955,6.14259,0,0.254683,2.22316,0.00334189,1.96768,10.0612,724.568,2126.52,4916.05,0,0.130972,0.541115,1441.49,4384.13,9614.68,0,0.0165853,0.198648,0,0.0727494,0.619856,253.446,4724.77,10433,0,0.545384,4.17291,0,0.0281763,0.218312
315,252145,256066,261953,0,0.777464,7.34962,0,0.306282,2.88445,0.0649486,2.42482,13.2711,723.443,2119.52,4899.85,0,0.145697,0.565905,1445.99,4389.62,9617.95,0,0.0174739,0.194554,0,0.0703699,0.647503,248.502,4723.27,10432.8,0,0.659035,4.5609,0,0.0269475,0.196728
316,252115,256067,261963,0,0.935135,7.8358,0,0.309559,2.64542,0.0616537,2.84094,16.6168,716.985,2112.57,4886.79,0,0.164713,0.651426,1444.99,4395.01,9621.3,0,0.0184615,0.191724,0,0.0758226,0.705835,236.35,4722.6,10416.4,0,0.68871,4.77075,0,0.028459,0.244992
317,252132,256070,261956,0,0.948273,7.5844,0,0.39239,3.62049,0.074098,3.36041,21.8627,713.046,2105.58,4872.05,0,0.173385,0.71505,1448.17,4400.54,9626.77,0,0.0213955,0.232925,0,0.0735407,0.626183,241.012,4720.93,10408.7,0,0.732222,4.9537,0,0.0300536,0.224806
318,252149,256071,261968,0,0.970519,7.64834,0,0.475751,4.64661,0.0949367,3.95258,23.9511,710.072,2098.83,4862,0,0.192809,0.825933,1449.01,4405.73,9625.84,0,0.0203872,0.217385,0,0.0705436,0.575981,244.585,4720.43,10401.5,0,0.817035,6.14348,0,0.0322576,0.220631
319,252153,256073,261963,0,1.04294,8.46035,0,0.526092,4.25345,0.0838207,4.5257,28.4385,706.117,2092.25,4853.77,0,0.216401,0.981418,1448.81,4410.94,9629.24,0,0.0245859,0.303045,0,0.0655762,0.520673,229.879,4719.23,10390.7,0,0.852833,5.98728,0,0.0321145,0.258935
320,252156,256075,261960,0,1.19691,9.63069,0,0.583083,5.52495,0.132383,5.08748,30.2678,705.737,2085.65,4845.11,0,0.245286,1.15365,1451.01,4416.08,9631.73,0,0.0271429,0.33678,0,0.0726817,0.553206,216.09,4717.94,10378.7,0,0.979122,6.84019,0,0.0340149,0.2774
321,252144,256077,261946,0,1.28804,10.5247,0,0.664405,5.78793,0.146689,5.75864,34.0595,703.535,2079.05,4837.36,0,0.270083,1.20627,1454.22,4421.27,9635.85,0,0.0218274,0.247174,0,0.0769107,0.630411,213.514,4716.45,10382.7,0,1.075,8.22349,0,0.0376613,0.264892
322,252128,256079,261937,0,1.39064,10.8747,0,0.677975,5.97749,0.180806,6.46265,40.4049,701.22,2072.48,4824.13,0,0.301931,1.28165,1459.23,4426.6,9636.56,0,0.0278289,0.304935,0,0.0975443,0.839669,213.106,4714.52,10354.2,0,1.09946,7.34463,0,0.0433613,0.316823
323,252137,256081,261940,0,1.41877,11.3941,0,0.719398,6.77911,0.208264,7.29378,45.2706,698.347,2065.83,4815.09,0,0.337743,1.45137,1461.86,4431.88,9647.53,0,0.0223978,0.259591,0,0.0873397,0.664989,212.075,4713.31,10350.1,0,1.16335,7.03597,0,0.0433237,0.31901
324,252132,256083,261946,0,1.52522,11.8951,0,0.73122,8.21577,0.181675,8.06743,48.5398,694.591,2059.44,4793.85,0,0.373892,1.69362,1464.74,4436.9,9656.21,0,0.0176659,0.155981,0,0.0919061,0.810105,214.373,4711.42,10348.1,0,1.17298,8.95097,0,0.047833,0.415366
325,252142,256085,261950,0,1.6407,14.2346,0,0.8139,7.2968,0.261992,8.89694,51.4292,689.668,2053.09,4782.62,0,0.397256,1.89715,1467.43,4441.91,9666.86,0,0.023461,0.235799,0,0.0866703,0.727174,211.749,4710.61,10325.6,0,1.31415,9.89569,0,0.0437561,0.349848
326,252132,256085,261941,0,1.72442,15.2157,0,0.821022,7.48226,0.252102,9.7578,59.7788,686.616,2046.58,4771.37,0,0.433148,1.96388,1470.82,4447.2,9676.55,0,0.0192331,0.227244,0,0.0905693,0.803265,216.857,4710.28,10318.8,0,1.3157,9.55542,0,0.0403836,0.263577
327,252117,256086,261958,0,1.7799,14.7039,0,0.869734,7.14731,0.305159,10.7281,66.6192,683.56,2040.07,4764.52,0,0.473415,2.01003,1473.47,4452.46,9679.93,0,0.0150124,0.176517,0,0.099345,0.83232,218.911,4709.23,10321,0,1.40239,7.94708,0,0.0457848,0.300494
328,252124,256088,261965,0,2.03446,14.3988,0,0.917305,8.90643,0.465,11.635,68.9149,681.854,2033.84,4754.38,0,0.510675,2.48638,1479.64,4457.49,9683.42,0,0.0151563,0.172784,0,0.100912,0.775803,219.373,4707.42,10314,0,1.56312,9.63827,0,0.051806,0.323835
329,252121,256089,261958,0,2.24676,17.0406,0,0.875765,7.7343,0.437115,12.6865,75.3478,681.565,2027.65,4741.13,0,0.549581,2.61605,1480.12,4462.46,9683.89,0,0.0109049,0.111537,0,0.115308,0.970025,214.272,4706.22,10302.5,0,1.55753,9.01991,0,0.0449981,0.344142
330,252114,256091,261945,0,2.54535,17.7067,0,0.939573,9.08672,0.491386,13.8939,87.8957,681.266,2021.26,4727.06,0,0.590502,3.01815,1482.02,4467.58,9687.27,0,0.0141277,0.203699,0,0.128376,1.08813,212.267,4704.18,10295.1,0,1.8831,11.1749,0,0.0602294,0.435182
331,252117,256092,261934,0,2.82487,18.7798,0,1.02494,9.84508,0.516519,15.27,98.2416,678.428,2015,4713.12,0,0.647288,3.02048,1483.23,4472.62,9694.17,0,0.0195176,0.204189,0,0.131487,1.21432,203.87,4702.53,10281.8,0,2.08876,13.0963,0,0.0596712,0.423059
332,252129,256092,261927,0,2.99593,22.9482,0,1.07857,11.1543,0.555008,16.7747,108.279,676.254,2008.81,4699.32,0.00278545,0.729508,3.66334,1487.08,4477.64,9697.67,0,0.0192242,0.217396,0,0.135726,1.15531,217.434,4702.22,10275.3,0,2.13847,12.8586,0,0.0663154,0.481365
333,252150,256092,261927,0,3.37042,26.2831,0,1.11688,13.775,0.609908,18.406,120.644,677.368,2002.75,4690.36,0.00535443,0.775704,4.03005,1490.4,4482.63,9695.66,0,0.0232888,0.233067,0,0.136393,1.05114,225.389,4700.68,10275.7,0,2.45261,17.5103,0,0.0659395,0.499294
