index,S:all,I1:all,I2:all,R1:all,R2:all,S1:all,S2:all,I12:all,I21:all,beta:all,psi:all,i:all,gamma:all,alpha:all,e:all,d:all,sto:all,rep:MadeiraMildCases__ecdc__inc,rep:MadeiraSevereCases__ecdc__inc,phi:all,log_like
0,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
1,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
2,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
3,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
4,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
5,0.954334,1.1312e-08,0.000318487,7.01876e-07,0.017499,1.65006e-08,0.00412469,0,0,10.4958,1.05154,8.71146e-13,2.03747,212.605,0.570459,-0.793686,0.1,0.699854,0.975092,0.1,214.022
6,0.956812,8.26989e-09,0.000366014,7.10807e-07,0.0100006,2.93162e-08,0.0094217,0,0,9.69803,0.721278,1.26546e-12,2.18274,223.536,0.570829,-0.810452,0.1,0.850799,0.966606,0.1,212.45
7,0.953068,4.59842e-09,0.000586434,2.93261e-07,0.0198157,9.99826e-09,0.0133288,0,0,8.77689,1.06575,1.62907e-12,2.56649,222.854,0.512771,-0.796478,0.1,0.818014,0.943194,0.1,211.575
8,0.953068,4.59842e-09,0.000586434,2.93261e-07,0.0198157,9.99826e-09,0.0133288,0,0,8.77689,1.06575,1.62907e-12,2.56649,222.854,0.512771,-0.796478,0.1,0.818014,0.943194,0.1,211.575
9,0.953817,2.64727e-09,0.000647579,2.06689e-07,0.0156655,7.19061e-09,0.01176,0,0,8.1673,1.68298,6.4366e-13,2.62873,243.017,0.514178,-0.822421,0.1,0.931535,0.942781,0.1,213.911
10,0.953817,2.64727e-09,0.000647579,2.06689e-07,0.0156655,7.19061e-09,0.01176,0,0,8.1673,1.68298,6.4366e-13,2.62873,243.017,0.514178,-0.822421,0.1,0.931535,0.942781,0.1,213.911
11,0.956707,2.80299e-09,0.000464757,1.4381e-07,0.0151831,2.22545e-08,0.0107302,0,0,7.76474,1.74834,1.2787e-13,2.93427,208.646,0.477991,-0.787908,0.1,0.970011,0.967979,0.1,216.998
12,0.956707,2.80299e-09,0.000464757,1.4381e-07,0.0151831,2.22545e-08,0.0107302,0,0,7.76474,1.74834,1.2787e-13,2.93427,208.646,0.477991,-0.787908,0.1,0.970011,0.967979,0.1,216.998
13,0.956707,2.80299e-09,0.000464757,1.4381e-07,0.0151831,2.22545e-08,0.0107302,0,0,7.76474,1.74834,1.2787e-13,2.93427,208.646,0.477991,-0.787908,0.1,0.970011,0.967979,0.1,216.998
14,0.956707,2.80299e-09,0.000464757,1.4381e-07,0.0151831,2.22545e-08,0.0107302,0,0,7.76474,1.74834,1.2787e-13,2.93427,208.646,0.477991,-0.787908,0.1,0.970011,0.967979,0.1,216.998
15,0.956707,2.80299e-09,0.000464757,1.4381e-07,0.0151831,2.22545e-08,0.0107302,0,0,7.76474,1.74834,1.2787e-13,2.93427,208.646,0.477991,-0.787908,0.1,0.970011,0.967979,0.1,216.998
16,0.958262,1.26185e-08,0.00033522,3.46414e-07,0.0150514,3.83782e-08,0.0102141,0,0,7.7514,1.70414,1.36769e-13,2.78893,266.039,0.528457,-0.799628,0.1,0.980552,0.965517,0.1,213.698
17,0.954134,5.87508e-09,0.000459424,8.58043e-08,0.0202123,1.802e-08,0.0186946,0,0,7.1678,1.88592,4.21413e-13,2.94322,341.4,0.545699,-0.79965,0.1,0.975474,0.956274,0.1,214.501
18,0.954134,5.87508e-09,0.000459424,8.58043e-08,0.0202123,1.802e-08,0.0186946,0,0,7.1678,1.88592,4.21413e-13,2.94322,341.4,0.545699,-0.79965,0.1,0.975474,0.956274,0.1,214.501
19,0.955105,7.12394e-09,0.000368924,2.89985e-07,0.0142758,6.8122e-09,0.018648,0,0,7.31909,1.74611,2.43234e-13,2.90882,286.293,0.557532,-0.785989,0.1,0.984186,0.953279,0.1,215.197
20,0.955105,7.12394e-09,0.000368924,2.89985e-07,0.0142758,6.8122e-09,0.018648,0,0,7.31909,1.74611,2.43234e-13,2.90882,286.293,0.557532,-0.785989,0.1,0.984186,0.953279,0.1,215.197
21,0.955105,7.12394e-09,0.000368924,2.89985e-07,0.0142758,6.8122e-09,0.018648,0,0,7.31909,1.74611,2.43234e-13,2.90882,286.293,0.557532,-0.785989,0.1,0.984186,0.953279,0.1,215.197
22,0.952031,6.44294e-09,0.000261889,3.14568e-07,0.0162671,1.41143e-08,0.0182489,0,0,8.70764,1.90423,3.02081e-13,2.3909,263.644,0.568598,-0.79696,0.1,0.986039,0.983426,0.1,215.201
23,0.952031,6.44294e-09,0.000261889,3.14568e-07,0.0162671,1.41143e-08,0.0182489,0,0,8.70764,1.90423,3.02081e-13,2.3909,263.644,0.568598,-0.79696,0.1,0.986039,0.983426,0.1,215.201
24,0.952031,6.44294e-09,0.000261889,3.14568e-07,0.0162671,1.41143e-08,0.0182489,0,0,8.70764,1.90423,3.02081e-13,2.3909,263.644,0.568598,-0.79696,0.1,0.986039,0.983426,0.1,215.201
25,0.952951,6.98926e-09,0.000193648,7.0591e-07,0.0139652,2.14162e-08,0.00847858,0,0,8.26034,1.91093,3.72449e-13,2.68736,337.395,0.56416,-0.774997,0.1,0.991864,0.979956,0.1,214.72
26,0.952951,6.98926e-09,0.000193648,7.0591e-07,0.0139652,2.14162e-08,0.00847858,0,0,8.26034,1.91093,3.72449e-13,2.68736,337.395,0.56416,-0.774997,0.1,0.991864,0.979956,0.1,214.72
27,0.952951,6.98926e-09,0.000193648,7.0591e-07,0.0139652,2.14162e-08,0.00847858,0,0,8.26034,1.91093,3.72449e-13,2.68736,337.395,0.56416,-0.774997,0.1,0.991864,0.979956,0.1,214.72
28,0.952951,6.98926e-09,0.000193648,7.0591e-07,0.0139652,2.14162e-08,0.00847858,0,0,8.26034,1.91093,3.72449e-13,2.68736,337.395,0.56416,-0.774997,0.1,0.991864,0.979956,0.1,214.72
29,0.951391,5.62445e-09,0.000346566,7.43906e-07,0.0109656,4.47318e-08,0.00494373,0,0,7.44887,1.89711,1.87648e-13,2.96774,340.808,0.538547,-0.804845,0.1,0.99159,0.963933,0.1,214.068
30,0.951391,5.62445e-09,0.000346566,7.43906e-07,0.0109656,4.47318e-08,0.00494373,0,0,7.44887,1.89711,1.87648e-13,2.96774,340.808,0.538547,-0.804845,0.1,0.99159,0.963933,0.1,214.068
31,0.951391,5.62445e-09,0.000346566,7.43906e-07,0.0109656,4.47318e-08,0.00494373,0,0,7.44887,1.89711,1.87648e-13,2.96774,340.808,0.538547,-0.804845,0.1,0.99159,0.963933,0.1,214.068
32,0.951391,5.62445e-09,0.000346566,7.43906e-07,0.0109656,4.47318e-08,0.00494373,0,0,7.44887,1.89711,1.87648e-13,2.96774,340.808,0.538547,-0.804845,0.1,0.99159,0.963933,0.1,214.068
33,0.951391,5.62445e-09,0.000346566,7.43906e-07,0.0109656,4.47318e-08,0.00494373,0,0,7.44887,1.89711,1.87648e-13,2.96774,340.808,0.538547,-0.804845,0.1,0.99159,0.963933,0.1,214.068
34,0.951119,8.26429e-09,0.000406398,7.82457e-07,0.0186236,4.66108e-08,0.00824037,0,0,7.08339,1.69434,1.03947e-13,3.2562,311.392,0.497551,-0.798787,0.1,0.99659,0.929058,0.1,208.159
35,0.951119,8.26429e-09,0.000406398,7.82457e-07,0.0186236,4.66108e-08,0.00824037,0,0,7.08339,1.69434,1.03947e-13,3.2562,311.392,0.497551,-0.798787,0.1,0.99659,0.929058,0.1,208.159
36,0.951119,8.26429e-09,0.000406398,7.82457e-07,0.0186236,4.66108e-08,0.00824037,0,0,7.08339,1.69434,1.03947e-13,3.2562,311.392,0.497551,-0.798787,0.1,0.99659,0.929058,0.1,208.159
37,0.951119,8.26429e-09,0.000406398,7.82457e-07,0.0186236,4.66108e-08,0.00824037,0,0,7.08339,1.69434,1.03947e-13,3.2562,311.392,0.497551,-0.798787,0.1,0.99659,0.929058,0.1,208.159
38,0.952615,1.911e-09,0.000317397,3.4561e-07,0.0167318,4.31508e-08,0.00389255,0,0,7.4958,1.78501,4.34572e-14,3.20064,300.282,0.433786,-0.765368,0.1,0.997015,0.948082,0.1,213.953
39,0.952615,1.911e-09,0.000317397,3.4561e-07,0.0167318,4.31508e-08,0.00389255,0,0,7.4958,1.78501,4.34572e-14,3.20064,300.282,0.433786,-0.765368,0.1,0.997015,0.948082,0.1,213.953
40,0.952615,1.911e-09,0.000317397,3.4561e-07,0.0167318,4.31508e-08,0.00389255,0,0,7.4958,1.78501,4.34572e-14,3.20064,300.282,0.433786,-0.765368,0.1,0.997015,0.948082,0.1,213.953
41,0.952615,1.911e-09,0.000317397,3.4561e-07,0.0167318,4.31508e-08,0.00389255,0,0,7.4958,1.78501,4.34572e-14,3.20064,300.282,0.433786,-0.765368,0.1,0.997015,0.948082,0.1,213.953
42,0.951853,2.48356e-09,0.000335466,6.77315e-07,0.0325883,2.36218e-08,0.00286789,0,0,7.84379,1.82742,4.70022e-14,3.19124,295.134,0.407813,-0.773162,0.1,0.997761,0.964462,0.1,215.099
