"date","Madeira__all"
2012-09-17,267302
2012-09-24,267302
2012-10-01,267302
2012-10-08,267302
2012-10-15,267302
2012-10-22,267302
2012-10-29,267302
2012-11-05,267302
2012-11-12,267302
2012-11-19,267302
2012-11-26,267302
2012-12-03,267302
2012-12-10,267302
2012-12-17,267302
2012-12-24,267302
2012-12-31,267302
2013-01-07,267302
2013-01-14,267302
2013-01-21,267302
2013-01-27,267302
2013-02-03,267302
2013-02-11,267302
2013-02-18,267302
2013-02-25,267302
2013-03-04,267302
2013-03-11,267302
2013-03-18,267302
2013-03-25,267302
2013-04-01,267302
2013-04-08,267302
2013-04-15,267302
2013-04-22,267302
2013-04-29,267302
2013-05-06,267302
2013-05-11,267302
2013-05-18,267302
2013-05-25,267302
2013-06-01,267302
2013-06-08,267302
2013-06-15,267302
2013-06-22,267302
2013-06-29,267302
2013-07-06,267302
2013-07-17,267302
