"date","MadeiraMildCases__ecdc__inc","MadeiraSevereCases__ecdc__inc"
2012-09-17,1,1
2012-09-24,1,1
2012-10-01,1,1
2012-10-08,1,1
2012-10-15,1,1
2012-10-22,1,1
2012-10-29,1,1
2012-11-05,1,1
2012-11-12,1,1
2012-11-19,1,1
2012-11-26,1,1
2012-12-03,1,1
2012-12-10,1,1
2012-12-17,1,1
2012-12-24,1,1
2012-12-31,1,1
2013-01-07,1,1
2013-01-14,1,1
2013-01-21,1,1
2013-01-27,1,1
2013-02-03,1,1
2013-02-11,1,1
2013-02-18,1,1
2013-02-25,1,1
2013-03-04,1,1
2013-03-11,1,1
2013-03-18,1,1
2013-03-25,1,1
2013-04-01,1,1
2013-04-08,1,1
2013-04-15,1,1
2013-04-22,1,1
2013-04-29,1,1
2013-05-06,1,1
2013-05-11,1,1
2013-05-18,1,1
2013-05-25,1,1
2013-06-01,1,1
2013-06-08,1,1
2013-06-15,1,1
2013-06-22,1,1
2013-06-29,1,1
2013-07-06,1,1
2013-07-17,1,1
